wavelength	varian
900	0.144985348
899	0.1482502967
898	0.1571265608
897	0.159512043
896	0.1683574915
895	0.1754225492
894	0.1851397008
893	0.1936633736
892	0.2048894614
891	0.218556419
890	0.2260422558
889	0.235593155
888	0.2449795455
887	0.2529919446
886	0.262860924
885	0.2759362757
884	0.2894206643
883	0.3093414009
882	0.3316117525
881	0.360883832
880	0.3959822059
879	0.4344215691
878	0.4738151133
877	0.5087984204
876	0.534001708
875	0.5380479693
874	0.5224994421
873	0.4885314405
872	0.4488202333
871	0.4119798541
870	0.3807317019
869	0.3606117964
868	0.3502979875
867	0.3481851816
866	0.3517569005
865	0.3529877961
864	0.3559408486
863	0.3517748713
862	0.3424360454
861	0.3271218538
860	0.30612728
859	0.2796813846
858	0.252548784
857	0.2241943777
856	0.1970967054
855	0.1723335683
854	0.1495017409
853	0.131997183
852	0.1167681888
851	0.105033718
850	0.09657995403
849	0.0889929086
848	0.08386842161
847	0.08105979115
846	0.079688631
845	0.07903456688
844	0.07876583189
843	0.07985320687
842	0.08014294505
841	0.0822949484
840	0.08551972359
839	0.08891827613
838	0.0925032571
837	0.09727661312
836	0.1035319418
835	0.1100019887
834	0.1185126081
833	0.1284336597
832	0.1383710355
831	0.1507096589
830	0.163374424
829	0.177517876
828	0.193146795
827	0.2093211561
826	0.227682054
825	0.2461161166
824	0.2678264678
823	0.2932462692
822	0.3209167719
821	0.3531475365
820	0.3876443505
819	0.4252682626
818	0.4656440318
817	0.5103743076
816	0.5601661801
815	0.6159188747
814	0.6799330115
813	0.7511966228
812	0.831248045
811	0.9198257923
810	1.016173005
809	1.126508474
808	1.25418222
807	1.398109078
806	1.548417211
805	1.67648232
804	1.759492874
803	1.772318363
802	1.723197699
801	1.641681671
800	1.54367137
799	1.469181061
798	1.414809942
797	1.375670433
796	1.329285145
795	1.265448809
794	1.183101416
793	1.080722809
792	0.9678806663
791	0.8497356176
790	0.7344298363
789	0.6319854856
788	0.543146193
787	0.4683248401
786	0.4078867137
785	0.357486248
784	0.3175986111
783	0.2853274643
782	0.2591656744
781	0.2387983352
780	0.2206571549
